# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
58 5.75 0.818356 26.4464 1.02616 53.5665 0.982658 53.2661
59 5.85 0.932221 27.8026 1.04572 56.6223 1.02442 56.2532
60 5.95 0.941074 29.2189 0.972529 59.5622 0.95897 59.1459
61 6.05 1.05917 30.867 0.93378 62.4807 1.03487 62.3734
62 6.15 0.902217 32.3176 1.0206 65.7768 0.998828 65.5923
63 6.25 0.997636 33.9742 0.97148 69.0172 0.992912 68.897
64 6.35 1.17177 35.9828 0.987245 72.4163 1.02559 72.4206
65 6.45 1.08233 37.897 0.978618 75.8927 1.01462 76.0172
66 6.55 1.03071 39.7768 1.00051 79.5579 0.974487 79.5794
67 6.65 0.999946 41.6567 1.01043 83.3734 1.00919 83.382
68 6.75 1.05031 43.691 0.980714 87.1888 0.999406 87.2618
69 6.85 0.985441 45.6567 1.0562 91.4206 1.01767 91.3305
70 6.95 0.99491 47.6996 0.983356 95.4764 1.0178 95.5193
71 7.05 1.15376 50.1373 0.965771 99.5751 1.07831 100.086
72 7.15 1.10987 52.5494 1.03137 104.077 1.03161 104.579
73 7.25 1.02184 54.8326 1.0165 108.639 0.997601 109.047
74 7.35 0.95311 57.0215 1.01973 113.343 1.0126 113.708
75 7.45 0.989541 59.3562 1.0179 118.167 0.981968 118.352
76 7.55 0.991841 61.7597 1.03432 123.202 1.02682 123.339
77 7.65 1.05234 64.3777 1.03666 128.382 0.987242 128.262
78 7.75 0.944672 66.7897 1.00171 133.519 0.959413 133.172
79 7.85 0.996122 69.3991 1.01632 138.867 0.984988 138.343
80 7.95 1.00317 72.0944 0.998068 144.253 1.00739 143.768
81 8.05 0.987748 74.8155 0.97963 149.674 0.991065 149.24
82 8.15 0.987977 77.6052 1.00492 155.373 1.03211 155.082
83 8.25 1.00867 80.5236 1.0228 161.318 1.00354 160.901
84 8.35 0.964384 83.382 0.950874 166.979 0.966645 166.644
85 8.45 0.981285 86.3605 0.98904 173.009 0.982702 172.622
86 8.55 0.999898 89.4678 0.988043 179.176 1.026 179.013
87 8.65 0.998502 92.6438 1.01168 185.639 0.976831 185.24
88 8.75 0.938887 95.6996 0.959804 191.914 1.02371 191.918
89 8.85 1.06474 99.2446 0.984443 198.498 1.04187 198.871
90 8.95 1.04612 102.807 0.970724 205.137 0.980358 205.562
91 9.05 0.981218 106.223 0.974552 211.953 1.0363 212.794
92 9.15 0.993653 109.76 1.01881 219.236 0.976475 219.76
93 9.25 0.955766 113.236 0.983386 226.421 1.02259 227.215
94 9.35 1.0232 117.039 1.02858 234.099 0.979514 234.511
95 9.45 0.98131 120.764 1.01031 241.803 0.974123 241.923
96 9.55 0.994076 124.618 0.967765 249.339 1.01569 249.815
97 9.65 1.01912 128.652 0.979658 257.129 0.962291 257.451
98 9.75 0.981325 132.618 1.04215 265.588 0.981864 265.403
99 9.85 1.05099 136.953 0.988976 273.781 0.983316 273.532
100 9.95 1.01774 141.236 1.01844 282.391 1.01606 282.103
11400 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0.0238973 0.00429185 0 0
16 1.55 0 0 0.313714 0.0686695 0 0
17 1.65 0 0 0.922838 0.283262 0.0184964 0.00429185
18 1.75 0 0 1.67364 0.72103 0.0822176 0.0257511
19 1.85 0 0 1.30676 1.103 0.264858 0.103004
20 1.95 0 0 0.832592 1.37339 0.437058 0.244635
21 2.05 0 0 0.466366 1.54077 0.790932 0.527897
22 2.15 0 0 0.434872 1.71245 1.06773 0.948498
23 2.25 0 0 0.158833 1.78112 1.39277 1.54936
24 2.35 0 0 0.136504 1.84549 1.30414 2.16309
25 2.45 0.033635 0.00858369 0.150708 1.92275 1.27538 2.81545
26 2.55 0.776226 0.223176 0.255055 2.06438 1.23154 3.49785
27 2.65 1.89751 0.7897 0.357835 2.27897 0.903684 4.03863
28 2.75 3.31049 1.85408 0.465201 2.5794 0.839163 4.5794
29 2.85 2.16256 2.60086 0.693011 3.06009 0.737907 5.09013
30 2.95 1.53124 3.16738 1.05687 3.84549 0.729246 5.6309
31 3.05 1.08521 3.59657 1.26965 4.85408 0.736359 6.21459
32 3.15 0.874974 3.96567 1.52463 6.14592 0.766494 6.86266
