# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
40 3.95 0.894216 8.50644 1.05255 17.3476 1.06438 16.7983
41 4.05 0.984271 9.20172 0.986096 18.7468 0.997311 18.2103
42 4.15 1.19202 10.0858 0.939148 20.1459 1.07686 19.8112
43 4.25 0.948992 10.824 0.931184 21.6009 1.0956 21.5193
44 4.35 0.905863 11.5622 1.05143 23.3219 0.94333 23.0601
45 4.45 1.01659 12.4292 0.932048 24.9185 0.901411 24.6009
46 4.55 0.808725 13.1502 0.946653 26.6137 0.972706 26.3391
47 4.65 1.06929 14.1459 0.970625 28.4292 0.958915 28.1288
48 4.75 0.980577 15.0987 0.941184 30.2661 1.00491 30.0858
49 4.85 0.923612 16.0343 0.932303 32.1631 1.05057 32.2189
50 4.95 0.894807 16.9785 0.945639 34.1674 0.9842 34.3004
51 5.05 1.03948 18.1202 0.94358 36.2489 0.957307 36.4077
52 5.15 0.984476 19.2446 0.959673 38.4506 0.999231 38.6953
53 5.25 1.01965 20.4549 0.995468 40.824 1.0391 41.1674
54 5.35 1.02367 21.7167 0.906599 43.0687 0.939818 43.4893
55 5.45 0.999868 22.9957 0.987225 45.6052 0.992696 46.0343
56 5.55 0.970634 24.2833 1.09211 48.515 1.00406 48.7039
57 5.65 0.942824 25.5794 1.02271 51.3391 0.993755 51.4421
58 5.75 0.982659 26.9785 1.03397 54.2961 1.09935 54.5794
59 5.85 0.861988 28.2489 0.99747 57.2489 1.04756 57.6738
60 5.95 1.15417 30.0086 1.03009 60.4034 0.985961 60.6867
61 6.05 1.07822 31.7082 0.977346 63.4979 0.956354 63.7082
62 6.15 1.16992 33.6137 1.00354 66.7811 1.02148 67.0429
63 6.25 0.903162 35.133 1.02757 70.2532 0.943226 70.2232
64 6.35 0.963918 36.8069 1.00162 73.7468 1.02473 73.7897
65 6.45 1.08758 38.7554 1.0364 77.4764 1.01353 77.4292
66 6.55 1.05462 40.7039 1.03275 81.309 0.950363 80.9485
67 6.65 1.09977 42.7983 1.01651 85.1974 0.972594 84.6609
68 6.75 0.984303 44.7296 1.02037 89.2189 0.980004 88.515
69 6.85 0.951527 46.6524 0.923122 92.9657 1.04803 92.7597
70 6.95 0.977987 48.6867 0.979953 97.0601 0.986178 96.8712
71 7.05 0.942419 50.7039 1.02323 101.459 1.00342 101.176
72 7.15 0.982524 52.867 0.955014 105.682 1.03293 105.734
73 7.25 0.99732 55.1245 1.02041 110.322 1.02261 110.373
74 7.35 1.01095 57.4764 1.04519 115.206 0.997734 115.026
75 7.45 0.973222 59.8026 1.01017 120.056 1.04817 120.047
76 7.55 1.00356 62.2661 0.967047 124.824 0.983084 124.884
77 7.65 1.06605 64.9528 1.03773 130.077 0.971994 129.794
78 7.75 0.929203 67.3562 0.980562 135.172 0.961147 134.777
79 7.85 0.999482 70.0086 0.98392 140.416 0.996526 140.077
80 7.95 1.11641 73.0472 0.941267 145.562 1.03141 145.704
81 8.05 1.04579 75.9657 1.0145 151.249 0.97755 151.172
82 8.15 1.01728 78.8755 1.01067 157.056 1.05177 157.202
83 8.25 0.942984 81.6395 0.946956 162.631 1.03155 163.262
84 8.35 0.886228 84.3004 1.00198 168.674 0.96063 169.043
85 8.45 1.01891 87.4335 1.00133 174.858 1.00418 175.232
86 8.55 0.965223 90.4721 1.01809 181.296 0.996477 181.519
87 8.65 1.06291 93.897 0.983418 187.661 0.960279 187.721
88 8.75 0.963258 97.073 1.02199 194.429 1.03977 194.592
89 8.85 1.03068 100.549 1.00029 201.206 1.05196 201.704
90 8.95 0.980409 103.931 0.992306 208.082 0.978301 208.468
91 9.05 1.00754 107.485 1.06319 215.614 1.01265 215.627
92 9.15 1.03563 111.219 0.977255 222.691 0.979951 222.708
93 9.25 1.05529 115.107 1.00901 230.159 1.02571 230.283
94 9.35 0.953039 118.695 1.00854 237.785 0.961227 237.536
95 9.45 1.11377 122.979 1.01954 245.661 1.01171 245.335
96 9.55 1.00096 126.91 1.01734 253.687 1.00589 253.253
97 9.65 0.978182 130.833 0.967057 261.476 0.978214 261.116
98 9.75 1.01483 134.987 0.971331 269.464 1.00428 269.356
99 9.85 0.924481 138.85 1.00796 277.923 1.03217 278
100 9.95 1.04088 143.288 1.01186 286.588 1.01303 286.657
11300 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0 0 0 0
17 1.65 0 0 0.27329 0.0643777 0.0365171 0.00858369
18 1.75 0 0 0.955634 0.317597 0.113624 0.0386266
19 1.85 0 0 1.36242 0.72103 0.188826 0.0944206
20 1.95 0 0 0.965386 1.03863 0.366067 0.214592
21 2.05 0 0 0.779083 1.32189 0.544165 0.412017
22 2.15 0 0 0.450742 1.50215 0.752852 0.712446
23 2.25 0 0 0.411573 1.6824 0.92312 1.11588
24 2.35 0 0 0.314413 1.83262 1.25135 1.71245
25 2.45 0 0 0.289274 1.98283 1.37494 2.42489
26 2.55 0.337146 0.0944206 0.366217 2.18884 1.05514 3.01717
27 2.65 1.50416 0.549356 0.515719 2.50215 1.16817 3.72532
28 2.75 2.79354 1.45923 0.734748 2.98283 1.01245 4.38627
29 2.85 2.52735 2.34335 0.708529 3.48069 0.924293 5.03433
30 2.95 1.83217 3.03004 1.11169 4.3176 0.999814 5.78541
31 3.05 1.52118 3.63948 1.10399 5.20601 0.903264 6.51073
32 3.15 1.20519 4.15451 1.48502 6.48069 0.866873 7.25322
33 3.25 1.15104 4.67811 1.40444 7.76395 0.83318 8.01288
34 3.35 1.01231 5.16738 1.41911 9.14163 1.06773 9.04721
35 3.45 0.720048 5.53648 1.40891 10.5923 0.964962 10.0386
36 3.55 1.07544 6.12017 1.3031 12.0129 1.13625 11.2747
37 3.65 0.867715 6.61803 1.15075 13.3391 1.15322 12.6009
38 3.75 1.14804 7.3133 1.16076 14.7511 1.18093 14.0343
39 3.85 0.793356 7.81974 1.19831 16.2876 1.09355 15.4335
40 3.95 1.04751 8.52361 0.931717 17.5451 1.07713 16.8841
41 4.05 1.203 9.37339 0.9256 18.8584 1.03975 18.3562
42 4.15 0.82168 9.98283 0.988122 20.3305 1.03355 19.8927
43 4.25 1.02624 10.7811 0.944919 21.8069 1.02678 21.4936
44 4.35 1.0428 11.6309 0.936062 23.3391 1.00114 23.1288
45 4.45 1.11724 12.5837 1.01222 25.073 1.01942 24.8712
46 4.55 0.837608 13.3305 0.973015 26.8155 0.984715 26.6309
47 4.65 0.921805 14.1888 0.933911 28.5622 0.919823 28.3476
48 4.75 0.918738 15.0815 0.916994 30.3519 1.00712 30.309
49 4.85 0.940559 16.0343 0.902773 32.1888 1.02943 32.3991
50 4.95 0.93548 17.0215 0.969938 34.2446 1.00449 34.5236
51 5.05 1.14108 18.2747 0.98249 36.412 0.924162 36.5579
52 5.15 0.789084 19.176 0.989604 38.6824 1.05735 38.9785
53 5.25 1.09196 20.4721 0.957665 40.9657 0.909213 41.1416
54 5.35 1.17687 21.9227 1.01407 43.4764 1.00062 43.6137
