# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
11000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
74 7.35 0.975225 54.7124 0.979744 108.498 0.978944 108.833
75 7.45 0.922749 56.8069 1.02046 113.15 1.02454 113.494
76 7.55 1.09363 59.3562 1.06602 118.142 1.02881 118.3
77 7.65 0.932517 61.588 1.02315 123.06 0.994932 123.073
78 7.75 0.99248 64.0258 1.04998 128.24 0.969422 127.845
79 7.85 1.01164 66.5751 1.02256 133.416 1.01116 132.953
80 7.95 1.01956 69.2103 1.04163 138.824 1.01819 138.227
81 8.05 1.16929 72.309 1.03446 144.33 1.04477 143.777
82 8.15 0.966971 74.9356 0.985633 149.708 0.988541 149.159
83 8.25 0.965259 77.6223 0.971863 155.142 1.04319 154.979
84 8.35 0.966361 80.3777 0.968209 160.687 0.985311 160.609
85 8.45 1.11706 83.6395 1.01934 166.665 0.987795 166.391
86 8.55 0.956136 86.4979 0.998491 172.661 1.04147 172.631
87 8.65 0.979041 89.4936 0.956683 178.541 1.00073 178.768
88 8.75 0.951308 92.4721 0.979983 184.704 0.990297 184.983
89 8.85 0.919212 95.4163 1.01133 191.21 1.03891 191.652
90 8.95 0.911888 98.4034 1.03582 198.026 0.994905 198.185
91 9.05 0.978981 101.682 0.95309 204.438 0.980712 204.768
92 9.15 0.987785 105.064 0.974184 211.137 0.998794 211.622
93 9.25 1.03523 108.687 1.02407 218.335 0.985883 218.536
94 9.35 1.07563 112.532 1.01603 225.631 0.996652 225.678
95 9.45 0.973073 116.086 0.945493 232.567 0.99502 232.961
96 9.55 1.03105 119.931 0.986523 239.957 0.982903 240.309
97 9.65 1.03008 123.854 1.02959 247.833 0.968823 247.704
98 9.75 1.05322 127.948 0.982192 255.502 0.998625 255.485
99 9.85 1.06656 132.18 1.0399 263.79 0.986007 263.326
100 9.95 1.00494 136.249 1.00591 271.97 1.00278 271.464
11300 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0 0 0.173924 0.0343348 0 0
17 1.65 0 0 0.978485 0.253219 0 0
18 1.75 0 0 1.43275 0.613734 0.170932 0.0429185
19 1.85 0 0 1.41944 1.01288 0.305913 0.128755
20 1.95 0 0 0.865488 1.28326 0.53693 0.296137
21 2.05 0 0 0.596667 1.48927 0.710066 0.540773
22 2.15 0 0 0.406848 1.64378 0.940028 0.896996
23 2.25 0 0 0.216704 1.73391 1.20995 1.39914
24 2.35 0 0 0.236496 1.8412 1.21346 1.9485
25 2.45 0 0 0.22629 1.95279 1.27344 2.57511
26 2.55 0.451861 0.120172 0.184789 2.0515 1.14333 3.18455
27 2.65 2.33112 0.7897 0.349655 2.25322 1.13323 3.83691
28 2.75 2.55321 1.5794 0.483581 2.55365 0.886165 4.38627
29 2.85 2.58392 2.43777 0.707527 3.02575 0.792845 4.91416
30 2.95 1.51938 2.97854 0.882504 3.65665 0.733993 5.43777
31 3.05 1.28602 3.46781 1.1401 4.5279 0.652886 5.93562
32 3.15 1.0153 3.87983 1.47956 5.73391 0.738734 6.53648
33 3.25 0.814696 4.23176 1.45917 7 0.867471 7.28755
34 3.35 0.785489 4.59227 1.53165 8.41202 0.88644 8.103
35 3.45 0.705349 4.93562 1.40903 9.7897 0.870992 8.95279
36 3.55 0.99926 5.45064 1.32248 11.1588 0.980493 9.96567
37 3.65 0.850734 5.91416 1.11376 12.3777 1.11615 11.1845
38 3.75 0.925371 6.44635 1.14803 13.7039 1.14306 12.5021
39 3.85 0.835447 6.95279 0.909408 14.8112 1.17629 13.9313
40 3.95 1.10309 7.65665 0.947663 16.0258 1.13427 15.382
41 4.05 1.02369 8.34335 0.965151 17.3262 1.16195 16.9442
42 4.15 1.07245 9.09871 0.992008 18.7296 1.14311 18.5579
43 4.25 1.06906 9.88841 1.03844 20.2704 0.982697 20.0129
44 4.35 0.820818 10.5236 0.916696 21.6953 1.02658 21.6052
45 4.45 1.09172 11.4077 0.989413 23.3047 1.13697 23.4506
46 4.55 1.19634 12.4206 1.00192 25.0086 0.988904 25.1288
47 4.65 1.12602 13.4163 0.971378 26.7339 0.980731 26.867
48 4.75 1.14423 14.4721 0.995749 28.5794 1.03734 28.7854
49 4.85 1.02615 15.4592 0.997315 30.5064 0.983878 30.6824
50 4.95 1.165 16.6266 1.01074 32.5408 1.04496 32.7811
51 5.05 0.995866 17.6652 1.00593 34.6481 0.958821 34.7854
52 5.15 0.941741 18.6867 0.967249 36.7554 0.971303 36.897
53 5.25 1.08136 19.9056 0.947814 38.9013 1.04864 39.2661
54 5.35 0.938647 21.0043 1.01494 41.2876 0.936629 41.4635
55 5.45 1.00345 22.2232 1.01849 43.7725 1.00834 43.9185
56 5.55 0.947174 23.4163 1.01435 46.3391 0.90604 46.206
57 5.65 0.848192 24.5236 1.07042 49.1459 1.0678 49
58 5.75 0.939567 25.794 1.00507 51.8755 0.926461 51.5107
59 5.85 0.840255 26.97 0.969474 54.6009 0.999099 54.3133
60 5.95 1.0079 28.4292 0.950444 57.3648 0.977631 57.1502
61 6.05 0.917513 29.8026 0.947834 60.2146 0.915539 59.897
62 6.15 0.97116 31.3047 0.964229 63.2103 1.00645 63.0172
63 6.25 0.983319 32.8755 0.987124 66.3777 0.987907 66.1803
64 6.35 0.884922 34.3348 0.964054 69.5708 1.10897 69.8455
65 6.45 1.03933 36.103 1.0311 73.0944 0.982971 73.1974
66 6.55 1.03719 37.9227 0.997419 76.6094 0.966611 76.5966
67 6.65 1.09641 39.9056 0.925114 79.97 1.00288 80.2318
68 6.75 1.0872 41.9313 1.01143 83.7554 1.01361 84.0172
69 6.85 1.0199 43.8884 1.01775 87.6781 1.00767 87.8927
70 6.95 1.03422 45.9313 0.994084 91.6223 0.994054 91.8283
71 7.05 0.967081 47.897 1.01339 95.7597 1.03453 96.0429
72 7.15 0.960748 49.9056 0.99444 99.9356 0.984287 100.167
73 7.25 1.07419 52.2146 1.00298 104.266 0.990196 104.433
74 7.35 1.11898 54.6867 1.03584 108.863 1.01287 108.918
75 7.45 0.960566 56.867 0.972447 113.296 1.06228 113.751
76 7.55 1.03471 59.279 1.02202 118.082 0.992067 118.386
77 7.65 1.1513 62.0343 1.01155 122.944 0.964512 123.013
78 7.75 0.961028 64.3948 0.98996 127.828 0.972038 127.798
79 7.85 0.943512 66.7725 1.04036 133.094 1.03325 133.017
80 7.95 0.996309 69.3476 1.03833 138.485 0.992509 138.159
81 8.05 0.997622 71.9914 1.00463 143.833 0.984972 143.391
